"","Constit_Code","ConstituencyName.x","Winner19","Electorate19","Conservative","Labour","Liberal Democrat","Scottish National Party","Plaid Cymru","Green","Reform UK","Other","Winner","results"
"76","E14000605","Bromsgrove","Conservative",75078,0.424141746243936,0.317106974974301,0.105332110587316,0.0000661279433303957,0.000051125257724818,0.0588062751785115,0.0517173587941083,0.042778281020772,"Conservative","Conservative Hold"
"77","E14000606","Broxbourne","Conservative",73182,0.420324342701794,0.326262568389794,0.0838971335514262,0.0000489619564304708,0.0000898164277890474,0.058073651269099,0.0582191303370071,0.0530843953666599,"Conservative","Conservative Hold"
"78","E14000607","Broxtowe","Conservative",73052,0.351144430394502,0.420057672597364,0.0786719607318181,0.000112689576808781,0.0000193090378669485,0.0665295867956974,0.0409451912853527,0.0425191595805905,"Labour","Labour Gain"
"79","E14000608","Buckingham","Conservative",83146,0.433754315448897,0.227032752270777,0.194604144412959,0.0000861181699994672,0.0000204365070363502,0.0587296162897719,0.0407658785163508,0.0450067383842082,"Conservative","Conservative Hold"
"80","E14000609","Burnley","Conservative",64345,0.304048201279404,0.406546578082407,0.0785883887960226,0.000186824398637891,0.0000635772998761481,0.0556995780712257,0.0900156217009356,0.0648512303714906,"Labour","Labour Gain"
"81","E14000610","Burton","Conservative",75036,0.371052276604646,0.375027791949509,0.072794498528228,0.0000802286482046127,0.0000820451401287104,0.062991307241414,0.062105928352628,0.0558659235352411,"Labour","Labour Gain"
"82","E14000611","Bury North","Conservative",68802,0.304693552991131,0.45358620505616,0.0665484007949912,0.0000598197791262054,0.0000377620130881722,0.0621561060466221,0.0644566849032795,0.0484614684156026,"Labour","Labour Gain"
"83","E14000612","Bury South","Conservative",75152,0.301322327795091,0.448045780415957,0.0727675081340363,0.000040119993692449,0.0000333776172592708,0.0597247889136206,0.0669190479711558,0.0511470491591868,"Labour","Labour Gain"
"84","E14000613","Bury St Edmunds","Conservative",89644,0.385714505804927,0.318316420912725,0.102289591622548,0.000052201257794673,0.0000740488382187803,0.104183830613985,0.046347842991558,0.0430215579582432,"Conservative","Conservative Hold"
"85","E14000614","Calder Valley","Conservative",79287,0.329926503631984,0.421378814514622,0.0732768750004306,0.0230074416053287,0.00601069230527375,0.0571420258071918,0.0428658976033625,0.0463917495318067,"Labour","Labour Gain"
"86","E14000615","Camberwell and Peckham","Labour",88971,0.152195487879422,0.581024389855424,0.0797900143996804,0.0000913510176019768,0.000149982811422077,0.0851920055824091,0.0224699473496641,0.0790868211043766,"Labour","Labour Hold"
"87","E14000616","Camborne and Redruth","Conservative",70250,0.364563079045395,0.379279725362645,0.092437415615121,0.0000651139393930199,0.0000695397635333233,0.0770584092443403,0.0470133541478803,0.0395133628816923,"Labour","Labour Gain"
"88","E14000617","Cambridge","Labour",79951,0.153127778498703,0.457207837780504,0.240117585321063,0.0000831058928350559,0.000155564491584942,0.0896519676894108,0.0135960495266439,0.0460601107992552,"Labour","Labour Hold"
"89","E14000618","Cannock Chase","Conservative",74813,0.403171335216835,0.342827076776719,0.06086528156422,0.000102817398524031,0.0000424626562235629,0.0688812386147092,0.0681939216077204,0.0559158661650482,"Conservative","Conservative Hold"
"90","E14000619","Canterbury","Labour",80203,0.318327475837202,0.464701333111818,0.0810372227131883,0.0000963606697922925,0.0000548889336822582,0.0626234639661654,0.0297687693176106,0.0433904854505404,"Labour","Labour Hold"
"91","E14000620","Carlisle","Conservative",65105,0.34612591850954,0.4011482493761,0.0651644311558398,0.0000356091090371215,0.0000641695042199015,0.0559950739638025,0.0788334177450388,0.0526331306364214,"Labour","Labour Gain"
"92","E14000621","Carshalton and Wallington","Conservative",72941,0.336248791445328,0.217486038853073,0.258045889445977,0.000126228025475532,0.0000493254152550516,0.0576322446194686,0.0446208713137193,0.0857906108817034,"Conservative","Conservative Hold"
"93","E14000622","Castle Point","Conservative",69608,0.501844775766198,0.271862985768322,0.0661348263218187,0.0000566712990282098,0.0000902925201805388,0.0475603694944275,0.0673374783251296,0.0451126005048949,"Conservative","Conservative Hold"
"94","E14000623","Central Devon","Conservative",74926,0.390643329225326,0.317024035006432,0.135929546459865,0.0000450579482445339,0.0000132354902502199,0.0816861026349875,0.0406159538173334,0.0340427394175616,"Conservative","Conservative Hold"
"95","E14000624","Central Suffolk and North Ipswich","Conservative",80037,0.419893467259312,0.313366514585721,0.110137928036614,0.0000496473374023484,0.0000517386376478063,0.0631843806736156,0.0471329672227501,0.0461833562469376,"Conservative","Conservative Hold"
"96","E14000625","Charnwood","Conservative",79534,0.440732052299422,0.310496312879755,0.0937512740258349,0.0000693791600992832,0.0000596947492961556,0.0725193624593712,0.043784284207681,0.0385876402185398,"Conservative","Conservative Hold"
"97","E14000626","Chatham and Aylesford","Conservative",71642,0.4085249178591,0.319683738274941,0.0881838402038093,0.0000763602350677505,0.000042825446438258,0.0642773858600076,0.0597298149442765,0.0594811171763602,"Conservative","Conservative Hold"
"98","E14000627","Cheadle","Conservative",74577,0.364005599111343,0.226453827361433,0.260024166777135,0.000044764453024918,0.0000535315184809872,0.055902969821105,0.0459949126826165,0.0475202282748616,"Conservative","Conservative Hold"
"99","E14000628","Chelmsford","Conservative",80394,0.384597230420136,0.285880204509602,0.174141302949272,0.000122574973691259,0.0000812302884647325,0.0598837554732231,0.0415322628886653,0.0537614384969467,"Conservative","Conservative Hold"
"100","E14000629","Chelsea and Fulham","Conservative",67110,0.296033336578019,0.330149198524814,0.198682286728471,0.000068867063340503,0.0000441406224604212,0.0793599372126732,0.0284446780323086,0.0672175552379131,"Labour","Labour Gain"
